symbol,trade_date,open,high,low,close,volume,amount
000521,20230103,4.21,4.28,4.19,4.27,220077.51,93600.153
000521,20230104,4.3,4.46,4.27,4.39,422554.93,185412.259
000521,20230105,4.44,4.45,4.35,4.38,247598.2,108698.699
000521,20230106,4.4,4.41,4.3,4.31,181757.0,78975.386
000521,20230109,4.32,4.43,4.29,4.37,242427.0,105148.575
000521,20230110,4.34,4.43,4.27,4.35,317221.32,138398.638
000521,20230111,4.35,4.54,4.34,4.45,460223.02,206046.814
000521,20230112,4.45,4.54,4.41,4.48,222976.57,100128.716
000521,20230113,4.47,4.6,4.46,4.58,305102.36,139145.909
000521,20230116,4.57,4.58,4.47,4.53,271928.17,122815.259
000521,20230117,4.56,4.59,4.51,4.57,195425.97,88976.095
000521,20230118,4.63,4.72,4.6,4.66,347762.4,162282.489
000521,20230119,4.7,4.7,4.54,4.56,216638.0,99267.596
000521,20230120,4.58,4.63,4.56,4.59,180895.0,82950.921
000521,20230130,4.63,4.72,4.62,4.66,214152.49,100007.401
000521,20230131,4.64,4.76,4.64,4.74,226923.23,107076.294
000521,20230201,4.73,4.77,4.67,4.76,218384.0,103094.435
000521,20230202,4.76,4.91,4.74,4.84,327404.2,158205.835
000521,20230203,4.82,4.91,4.8,4.89,239524.19,116610.854
000521,20230206,4.86,4.94,4.84,4.91,205801.38,101083.07
000521,20230207,4.9,5.02,4.88,4.98,218964.06,108766.103
000521,20230208,5.01,5.01,4.87,4.89,207310.51,101924.256
000521,20230209,4.89,4.99,4.87,4.97,224107.68,111085.555
000521,20230210,5.0,5.0,4.89,4.9,212326.0,104689.428
000521,20230213,4.9,4.91,4.82,4.88,185358.0,90215.093
000521,20230214,4.9,4.95,4.86,4.93,160234.67,78614.876
000521,20230215,4.92,4.98,4.89,4.94,123315.28,60850.257
000521,20230216,4.95,4.97,4.81,4.83,158435.64,77496.202
000521,20230217,4.85,4.95,4.83,4.88,154765.24,75707.474
000521,20230220,4.89,5.15,4.88,5.14,304499.67,154784.927
000521,20230221,5.15,5.19,5.09,5.19,183245.71,94400.613
000521,20230222,5.15,5.22,5.12,5.21,133542.8,69144.744
000521,20230223,5.22,5.26,5.16,5.2,121397.42,63080.135
000521,20230224,5.2,5.23,5.1,5.15,133219.4,68370.691
000521,20230227,5.15,5.29,5.1,5.19,158109.92,82237.85
000521,20230228,5.2,5.24,5.15,5.23,123811.64,64286.283
000521,20230301,5.23,5.26,5.17,5.22,109819.3,57242.648
000521,20230302,5.22,5.25,5.16,5.18,87869.01,45685.196
000521,20230303,5.16,5.21,5.15,5.18,96280.28,49880.676
000521,20230306,5.19,5.25,5.14,5.17,117260.0,60748.347
000521,20230307,5.2,5.23,5.1,5.1,103240.71,53343.855
000521,20230308,5.1,5.15,5.07,5.12,97958.56,50024.582
000521,20230309,5.12,5.16,5.04,5.09,84600.51,43114.554
000521,20230310,5.12,5.12,4.91,4.91,118800.0,59239.0
000521,20230313,4.91,4.98,4.88,4.95,98119.0,48413.617
000521,20230314,4.94,4.94,4.74,4.8,117433.99,56631.162
000521,20230315,4.83,4.95,4.83,4.91,100750.2,49306.827
000521,20230316,4.92,4.95,4.81,4.82,102612.0,50028.092
000521,20230317,4.86,4.92,4.8,4.83,122898.0,59701.403
000521,20230320,4.85,4.92,4.81,4.85,124937.01,60959.934
000521,20230321,4.88,4.93,4.84,4.93,74821.81,36576.501
000521,20230322,4.92,4.98,4.91,4.97,87120.09,43139.214
000521,20230323,4.94,5.02,4.92,4.96,86105.09,42683.101
000521,20230324,4.99,5.13,4.93,5.06,125528.66,63128.145
000521,20230327,5.13,5.19,5.07,5.11,139957.85,71722.022
000521,20230328,5.13,5.25,5.06,5.19,146573.75,75600.916
000521,20230329,5.2,5.39,5.15,5.18,169255.0,88512.265
000521,20230330,5.17,5.21,5.08,5.17,144721.62,74473.876
000521,20230331,5.2,5.45,5.18,5.42,281989.77,149718.066
000521,20230403,5.42,5.82,5.39,5.78,367506.93,208660.66
000521,20230404,5.77,5.8,5.58,5.62,232334.91,131411.244
000521,20230406,5.59,5.63,5.52,5.52,175335.36,97467.533
000521,20230407,5.53,5.56,5.43,5.45,150610.09,82439.757
000521,20230410,5.42,5.44,5.18,5.24,285611.48,149756.715
000521,20230411,5.26,5.38,5.23,5.37,181112.0,95973.485
000521,20230412,5.36,5.39,5.28,5.33,111812.21,59590.536
000521,20230413,5.32,5.37,5.25,5.28,96450.07,51127.681
000521,20230414,5.28,5.31,5.22,5.26,99022.0,52064.101
000521,20230417,5.79,5.79,5.61,5.79,943233.69,545285.627
000521,20230418,5.69,6.34,5.59,6.25,1645200.12,993727.68
000521,20230419,6.12,6.62,6.08,6.5,1275133.01,813680.953
000521,20230420,6.56,7.15,6.35,7.13,1390523.6,956145.726
000521,20230421,7.04,7.29,6.85,6.91,852532.95,599013.492
000521,20230424,7.09,7.27,6.97,7.08,698141.45,495609.606
000521,20230425,7.08,7.79,6.84,7.79,974042.87,706542.306
000521,20230426,7.81,8.02,7.39,7.68,1057064.21,811227.142
000521,20230427,7.33,7.44,7.04,7.16,839493.78,605087.331
000521,20230428,7.06,7.29,7.0,7.21,537907.2,387299.361
000521,20230504,7.3,7.67,7.23,7.63,794925.92,592083.364
000521,20230505,7.51,7.63,7.14,7.36,574486.35,420570.185
000521,20230508,7.35,7.44,7.16,7.24,436636.96,317301.391
000521,20230509,7.17,7.55,7.12,7.3,439036.07,323099.3
000521,20230510,7.25,7.44,7.15,7.33,310708.16,226045.327
000521,20230511,7.29,7.29,7.07,7.14,248259.14,177593.708
000521,20230512,7.08,7.34,7.01,7.14,226961.51,163523.741
000521,20230515,7.15,7.19,6.91,7.07,219161.33,153806.007
000521,20230516,7.05,7.19,6.9,6.91,157199.27,110439.323
000521,20230517,6.88,6.96,6.86,6.91,131926.48,91177.107
000521,20230518,6.9,7.12,6.85,7.03,193530.89,135808.013
000521,20230519,7.03,7.68,7.0,7.3,429181.87,315835.495
000521,20230522,7.29,7.42,7.09,7.31,250924.02,182333.956
000521,20230523,7.3,7.42,7.22,7.26,171938.11,125862.113
000521,20230524,7.17,7.32,7.03,7.14,161888.39,116046.074
000521,20230525,7.05,7.18,6.98,7.07,136979.86,96715.387
000521,20230526,7.1,7.19,6.96,7.16,130966.55,93013.239
000521,20230529,7.21,7.53,7.17,7.33,266312.99,196641.17
000521,20230530,7.39,7.4,7.17,7.34,169034.84,123266.08
000521,20230531,7.37,7.52,7.23,7.33,254343.69,187026.491
000521,20230601,7.3,7.46,7.23,7.27,141132.38,103377.766
000521,20230602,7.25,7.47,7.25,7.45,217663.19,160992.016
000521,20230605,7.45,7.59,7.33,7.49,261059.31,194820.933
000521,20230606,7.5,7.55,7.33,7.35,183684.68,136548.51
000521,20230607,7.36,7.43,7.2,7.25,142956.6,104241.959
000521,20230608,7.23,7.41,7.15,7.32,139097.31,101395.619
000521,20230609,7.39,7.65,7.26,7.35,247569.08,183270.682
000521,20230612,7.38,7.75,7.27,7.64,271980.99,205271.462
000521,20230613,7.64,7.7,6.88,7.09,617775.33,438983.196
000521,20230614,7.06,7.29,6.88,7.24,309635.34,220712.755
000521,20230615,7.23,7.64,7.2,7.41,304024.45,226068.495
000521,20230616,7.3,7.38,7.1,7.23,192451.75,139593.229
000521,20230619,7.23,7.26,7.03,7.1,227932.44,162103.621
000521,20230620,7.13,7.63,7.1,7.3,387665.0,287540.625
000521,20230621,7.27,7.42,7.12,7.14,192208.08,138926.345
000521,20230626,7.07,7.39,7.0,7.01,182622.44,130401.287
000521,20230627,7.0,7.48,7.0,7.42,346453.03,253531.573
000521,20230628,7.45,7.5,7.05,7.49,272988.45,200099.082
000521,20230629,7.45,7.63,7.3,7.57,268398.19,201810.222
000521,20230630,7.76,8.24,7.47,7.64,620542.74,483178.514
000521,20230703,7.7,7.74,7.43,7.68,362145.94,274339.763
000521,20230704,7.61,7.84,7.49,7.58,249742.0,190084.379
000521,20230705,7.56,7.74,7.45,7.56,198389.39,150602.16
000521,20230706,7.49,7.68,7.42,7.49,176514.32,133237.672
000521,20230707,7.49,7.5,7.29,7.38,146330.54,107960.844
000521,20230710,7.46,7.56,7.25,7.29,223243.1,165243.722
000521,20230711,7.32,7.4,7.24,7.33,126861.8,92989.627
000521,20230712,7.34,7.37,7.09,7.12,167756.35,121007.858
000521,20230713,7.13,7.18,7.0,7.05,183340.48,129604.191
000521,20230714,7.04,7.1,6.66,6.68,382188.34,260166.26
000521,20230717,7.29,7.35,6.93,7.02,1064029.14,762840.427
000521,20230718,7.07,7.44,6.89,7.24,732545.33,522865.29
000521,20230719,7.25,7.37,7.17,7.25,277047.41,201220.714
000521,20230720,7.29,7.48,7.11,7.12,302333.0,220010.497
000521,20230721,7.11,7.19,6.98,7.02,237519.44,167820.929
000521,20230724,6.98,7.02,6.8,6.84,282649.97,194850.74
000521,20230725,6.89,6.98,6.85,6.94,265534.0,183754.525
000521,20230726,6.92,6.94,6.79,6.81,181731.52,124086.79
000521,20230727,6.81,6.84,6.58,6.61,203936.15,136551.166
000521,20230728,6.6,6.71,6.54,6.63,214679.28,142566.512
000521,20230731,6.65,6.67,6.48,6.55,321097.0,210664.103
000521,20230801,6.55,6.63,6.48,6.59,258468.91,169880.687
000521,20230802,6.6,6.65,6.48,6.56,209383.97,137683.269
000521,20230803,6.53,6.65,6.52,6.59,165964.0,109463.415
000521,20230804,6.57,6.69,6.55,6.61,172003.0,113903.222
000521,20230807,6.61,6.68,6.57,6.63,168413.0,111603.771
000521,20230808,6.62,6.72,6.54,6.62,210195.01,139196.508
000521,20230809,6.59,6.6,6.46,6.47,182656.0,118864.156
000521,20230810,6.47,6.48,6.37,6.39,193255.15,123962.95
000521,20230811,6.42,6.42,6.16,6.18,266356.35,166796.385
000521,20230814,6.12,6.28,6.06,6.25,223461.19,138712.0
000521,20230815,6.27,6.34,6.18,6.26,202118.11,126647.667
000521,20230816,6.27,6.29,6.2,6.23,109533.0,68301.977
000521,20230817,6.22,6.53,6.19,6.5,305555.28,194249.291
000521,20230818,6.4,6.44,6.07,6.09,673288.14,415704.907
000521,20230821,6.13,6.25,6.09,6.11,356613.79,219225.884
000521,20230822,6.14,6.15,6.0,6.14,238829.0,145179.672
000521,20230823,6.12,6.13,5.97,5.98,194766.96,117438.241
000521,20230824,6.0,6.1,5.99,6.05,176463.5,106677.616
000521,20230825,6.04,6.04,5.88,5.9,193928.0,115002.7
000521,20230828,6.15,6.17,5.94,5.98,263026.91,159461.583
000521,20230829,5.95,6.11,5.86,6.1,205420.88,124299.555
000521,20230830,6.11,6.25,6.08,6.16,189240.97,116959.233
000521,20230831,6.18,6.26,6.05,6.07,168724.58,102912.314
000521,20230901,6.09,6.21,6.07,6.16,233233.01,143433.053
000521,20230904,6.17,6.29,6.16,6.29,234625.0,146544.462
000521,20230905,6.25,6.34,6.21,6.24,146868.52,92007.893
000521,20230906,6.28,6.28,6.16,6.19,109258.86,67755.765
000521,20230907,6.19,6.19,6.02,6.04,169713.37,103308.401
000521,20230908,6.04,6.06,5.96,6.02,106630.84,64087.218
000521,20230911,6.03,6.17,5.98,6.16,149453.75,91160.033
000521,20230912,6.15,6.22,6.09,6.19,131670.54,81145.766
000521,20230913,6.15,6.23,6.07,6.13,124295.43,76335.949
000521,20230914,6.11,6.12,6.04,6.08,104787.62,63722.942
000521,20230915,6.11,6.13,6.03,6.06,92939.58,56485.174
000521,20230918,6.06,6.14,5.98,6.1,136236.0,82718.191
000521,20230919,6.1,6.1,5.98,6.01,100136.73,60343.843
000521,20230920,6.0,6.11,6.0,6.03,117343.66,71142.248
000521,20230921,6.04,6.05,5.94,5.97,104296.53,62470.126
000521,20230922,6.0,6.12,5.94,6.11,148352.07,90051.79
000521,20230925,6.11,6.11,6.0,6.07,151604.12,91811.658
000521,20230926,6.07,6.07,5.99,6.0,145244.73,87578.857
000521,20230927,6.04,6.16,5.98,6.12,178443.33,108763.089
000521,20230928,6.11,6.2,6.09,6.16,169014.2,104023.611
000521,20231009,6.17,6.23,6.13,6.19,194499.2,120261.815
000521,20231010,6.2,6.2,5.82,5.9,346832.5,206185.66
000521,20231011,5.9,6.01,5.79,5.81,190647.14,111861.655
000521,20231012,5.84,6.07,5.8,6.04,256746.31,153376.298
000521,20231013,6.0,6.01,5.8,5.86,215142.82,126037.13
000521,20231016,5.66,5.86,5.55,5.81,260510.21,150115.726
000521,20231017,5.86,5.95,5.74,5.93,264704.89,154648.888
000521,20231018,5.92,5.93,5.8,5.87,168761.74,99023.841
000521,20231019,5.82,6.01,5.78,5.88,218876.36,129746.713
000521,20231020,5.85,5.88,5.7,5.75,186675.56,107586.782
000521,20231023,5.71,5.77,5.55,5.59,178279.14,100625.697
000521,20231024,5.67,5.76,5.55,5.67,223124.34,126272.264
000521,20231025,5.75,5.85,5.71,5.81,185567.21,107650.264
